ing,Energy,Water,Total_lipid,Protein,Carbohydrate,Sugars,Fiber,Calcium,Iron,Sodium,Potassium,Zinc,Vitamin_A_RAE,Vitamin_D,Vitamin_E_alpha_tocopherol,Vitamin_C_total_ascorbic_acid,Thiamin,Niacin,Riboflavin,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fatty_acids_total_polyunsaturated
"OIL, CORN",889.33,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.0,14.64,0.0,0.0,0.0,0.0,0.0,11.78,0.33,38.94
"CORN STARCH, MODIFIED",381.0,8.32,0.05,0.26,91.27,0.0,0.9,2.0,0.47,9.0,3.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03
LACTOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOT PEPPER,30.5,90.19,0.21,1.42,7.12,4.21,1.4,11.5,0.81,590.5,259.0,0.23,184.5,0.0,0.69,130.55,0.05,0.95,0.07,0.0,0.02,0.0,0.11
SOUR CREAM,149.75,75.21,11.06,4.0,9.08,1.89,0.0,102.5,0.13,99.0,178.25,0.61,70.5,4.5,0.36,0.45,0.03,0.05,0.13,19.75,8.27,0.0,0.24
"OIL, SOYBEAN",876.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,8.71,0.0,0.0,0.0,0.0,0.0,23.78,12.38,35.92
SODIUM BICARBONATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MILK, NONFAT",36.5,90.36,0.17,3.57,5.13,5.07,0.0,129.0,0.04,49.0,166.25,0.43,47.0,34.0,0.01,0.53,0.04,0.1,0.18,2.0,0.11,0.0,0.01
"HOT PEPPER, DRIED",324.0,7.15,5.81,10.58,69.86,41.06,28.7,45.0,6.04,91.0,1870.0,1.02,1324.0,0.0,3.14,31.4,0.08,8.67,1.21,0.0,0.81,0.0,3.08
BROWN RICE FLOUR,363.0,11.97,2.78,7.23,76.48,0.66,4.6,11.0,1.98,8.0,289.0,2.45,0.0,0.0,0.6,0.0,0.44,6.34,0.08,0.0,0.56,0.0,1.0
SODIUM CARBONATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VINEGAR,36.5,89.88,0.0,0.13,4.57,3.85,0.0,11.5,0.35,9.5,56.5,0.04,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURMERIC,312.0,12.85,3.25,9.68,67.14,3.21,22.7,168.0,55.0,27.0,2080.0,4.5,0.0,0.0,4.43,0.7,0.06,1.35,0.15,0.0,1.84,0.06,0.76
BROWN SUGAR,380.0,1.34,0.0,0.12,98.09,97.02,0.0,83.0,0.71,28.0,133.0,0.03,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
"VINEGAR, DRIED",339.26,0.0,0.0,0.0,15.02,6.46,0.0,113.09,3.23,80.78,1179.32,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SPINACH, DRIED",267.44,0.0,4.53,33.26,42.21,4.88,25.58,1151.16,31.51,918.6,6488.37,6.16,109034.88,0.0,23.6,326.74,0.91,8.42,2.2,0.0,0.73,0.0,1.92
WHEY PROTEIN CONCENTRATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROMANO CHEESE,387.0,30.91,26.94,31.8,3.63,0.73,0.0,1064.0,0.77,1433.0,86.0,2.58,96.0,20.0,0.23,0.0,0.04,0.08,0.37,104.0,17.12,0.0,0.59
MALT SYRUP (MALT EXTRACT),318.0,21.1,0.0,6.2,71.3,71.3,0.0,61.0,0.96,35.0,320.0,0.14,0.0,0.0,0.0,0.0,0.01,8.12,0.39,0.0,0.0,0.0,0.0
CORN SYRUP SOLIDS,283.33,22.94,0.07,0.0,76.79,76.67,0.0,10.33,0.13,73.0,15.0,0.17,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0
"OIL, COTTONSEED",884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,0.0,0.0,0.0,59.75,0.67,26.24
SUNFLOWER AND SAFFLOWER OIL,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,39.09,0.0,0.0,0.0,0.0,0.0,9.43,0.16,37.49
PARSLEY,36.0,87.71,0.79,2.97,6.33,0.85,3.3,138.0,6.2,56.0,554.0,1.07,421.0,0.0,0.75,133.0,0.09,1.31,0.1,0.0,0.13,0.0,0.12
BUTTER,630.0,27.17,70.14,1.76,0.6,0.04,0.0,33.4,0.45,344.6,46.2,0.15,596.2,0.0,1.83,0.0,0.01,0.03,0.05,173.4,43.18,2.97,2.7
POTATO FLOUR,357.0,6.52,0.34,6.9,83.1,3.52,5.9,65.0,1.38,55.0,1001.0,0.54,0.0,0.0,0.25,3.8,0.23,3.51,0.05,0.0,0.09,0.0,0.15
"MILK, NONFAT, DRIED",358.8,3.83,0.64,35.6,52.03,52.09,0.0,1051.2,0.32,889.6,1535.6,4.2,274.8,220.0,0.01,6.3,0.36,0.87,1.65,15.6,0.41,0.0,0.03
MONO- AND DIGLYCERIDES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEAVENING,325.0,5.08,7.61,40.44,41.22,0.0,26.9,30.0,2.17,51.0,955.0,7.94,0.0,0.0,0.0,0.3,10.99,40.2,4.0,0.0,1.0,0.0,0.02
SOY LECITHIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARLIC,149.0,58.58,0.5,6.36,33.06,1.0,2.1,181.0,1.7,17.0,401.0,1.16,0.0,0.0,0.08,31.2,0.2,0.7,0.11,0.0,0.09,0.0,0.25
"OIL, HIGH OLEIC SUNFLOWER",884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.08,0.0,0.0,0.0,0.0,0.0,9.86,0.0,3.8
SUNFLOWER AND CANOLA OIL,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,41.08,0.0,0.0,0.0,0.0,0.0,10.45,0.22,34.99
POTASSIUM CHLORIDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ONION,38.27,90.27,0.86,1.05,7.25,3.44,1.66,28.87,0.44,81.27,144.8,0.19,19.38,0.0,0.15,7.64,0.03,0.19,0.03,0.0,0.13,0.0,0.44
CANOLA AND SUNFLOWER OIL,886.67,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.12,0.0,0.0,0.0,0.0,0.0,7.69,5.42,21.17
SWEET POTATO,97.62,74.92,0.42,1.56,22.21,8.78,2.38,29.0,0.75,92.31,303.38,0.24,637.0,0.15,0.86,12.35,0.06,0.71,0.06,0.69,0.2,0.01,0.09
MALT,361.0,8.21,1.84,10.28,78.3,0.8,7.1,37.0,4.71,11.0,224.0,2.06,1.0,0.0,0.57,0.6,0.31,5.64,0.31,0.0,0.39,0.0,0.95
FRUCTOSE,368.0,0.0,0.0,0.0,100.0,92.7,0.0,0.0,0.1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPELLER PRESSED CANOLA OIL AND SAFFLOWER OIL AND SUNFLOWER OIL,885.23,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,29.41,0.0,0.0,0.0,0.0,0.0,8.63,4.11,29.96
CARAMEL EXTRACT (OR COLOR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PARSLEY, DRIED",281.5,3.95,5.34,28.97,46.51,7.27,29.7,658.0,37.97,421.5,4491.5,5.78,97.0,0.0,8.96,137.0,0.62,10.17,2.32,0.0,1.38,0.0,3.12
ANNATTO EXTRACT (OR COLOR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORN MASA FLOUR,363.0,9.79,3.69,8.46,76.59,1.61,6.4,138.0,6.16,5.0,262.0,1.8,3.67,0.0,0.12,0.0,1.06,7.17,0.57,0.0,0.53,0.0,1.72
DISODIUM INOSINATE,0.0,24.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SESAME SEED,580.6,4.35,50.98,17.81,22.6,0.44,14.24,457.2,10.25,139.2,425.0,8.42,1.8,0.0,0.61,0.0,0.94,5.15,0.3,0.0,7.24,0.0,22.08
LINSEED,477.0,2.2,31.0,19.0,13.0,0.0,34.8,255.0,5.7,28.0,725.0,7.8,0.0,0.0,0.7,0.0,1.64,3.1,0.16,0.0,2.9,0.0,20.6
"BUTTERMILK, DRIED",387.0,2.97,5.78,34.3,49.0,49.0,0.0,1184.0,0.3,517.0,1592.0,4.02,49.0,20.0,0.1,5.7,0.39,0.88,1.58,69.0,3.6,0.0,0.22
"BEETROOT, DRIED",38.0,89.0,0.1,1.7,6.0,6.0,2.9,10.0,0.4,70.0,400.0,0.0,1.0,0.0,0.1,2.0,0.05,0.1,0.05,0.0,0.0,0.0,0.0
CHIA SEED,486.0,5.8,30.74,16.54,42.12,0.0,34.4,631.0,7.72,16.0,407.0,4.58,0.0,0.0,0.5,1.6,0.62,8.83,0.17,0.0,3.33,0.14,23.67
