Rank,Snack_Top200_Ing,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Sugars, total","Fiber, total dietary","Calcium, Ca","Iron, Fe","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, RAE","Vitamin A, IU",Vitamin D,Vitamin E (alpha-tocopherol),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
39,ENRICHED FLOUR,365.5625,11.79875,10.459375,2.1575,74.59312499999999,0.6746153846153847,3.0071428571428567,79.4375,5.611875000000001,139.1875,119.0,0.990625,0.7333333333333333,13.9375,0.0,0.2393333333333332,0.0,0.8481250000000004,0.5035000000000001,6.5776875000000015,0.0,0.0,0.5059374999999999,0.514875,0.8068750000000001
42,"OIL, CORN",889.3333333333334,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0433333333333333,0.0,0.0,0.0066666666666666,0.0,0.0,0.0,14.64,0.0,0.0,0.0,0.0,0.0,0.334,11.780333333333331,44.71533333333334,38.941
43,"CORN STARCH, MODIFIED",381.0,8.32,0.26,0.05,91.27,0.0,0.9,2.0,0.47,3.0,9.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.016,0.025
45,HOT PEPPER,30.5,90.19,1.4175,0.21,7.1175,4.21,1.4,11.5,0.8075,259.0,590.5,0.225,184.5,3686.0,0.0,0.69,130.55,0.0504999999999999,0.069,0.9485,0.0,0.0,0.02075,0.01175,0.1145
46,SOUR CREAM,149.75,75.2125,4.0,11.055,9.0825,1.885,0.0,102.5,0.13,178.25,99.0,0.6125,70.5,254.75,4.5,0.36,0.45,0.03,0.1275,0.0525,19.75,0.0,8.27275,1.947,0.239
47,"OIL, SOYBEAN",876.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0157142857142857,0.0,0.0,0.0028571428571428,0.0,0.0,0.0,8.705714285714285,0.0,0.0,0.0,0.0,0.0,12.383363636363637,23.78407142857143,34.03807142857143,35.91700000000001
48,SODIUM BICARBONATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"MILK, NONFAT",36.5,90.355,3.5675,0.165,5.125,5.066666666666666,0.0,129.0,0.0425,166.25,49.0,0.425,47.0,159.0,34.0,0.01,0.525,0.044,0.1832499999999999,0.095,2.0,0.0,0.10775,0.04325,0.0059999999999999
50,"HOT PEPPER, DRIED",324.0,7.15,10.58,5.81,69.86,41.06,28.7,45.0,6.04,1870.0,91.0,1.02,1324.0,26488.0,0.0,3.14,31.4,0.081,1.205,8.669,0.0,0.0,0.813,0.468,3.079
51,BROWN RICE FLOUR,363.0,11.97,7.23,2.78,76.48,0.66,4.6,11.0,1.98,289.0,8.0,2.45,0.0,0.0,0.0,0.6,0.0,0.443,0.08,6.34,0.0,0.0,0.557,1.008,0.996
53,VINEGAR,36.5,89.8775,0.1325,0.0,4.567500000000001,3.8475,0.0,11.5,0.35,56.5,9.5,0.04,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,TURMERIC,312.0,12.85,9.68,3.25,67.14,3.21,22.7,168.0,55.0,2080.0,27.0,4.5,0.0,0.0,0.0,4.43,0.7,0.058,0.15,1.35,0.0,0.056,1.838,0.449,0.756
55,BROWN SUGAR,380.0,1.34,0.12,0.0,98.09,97.02,0.0,83.0,0.71,133.0,28.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
57,"VINEGAR, DRIED",339.256865912763,0.0,0.0,0.0,15.0242326332795,6.46203554119548,0.0,113.085621970921,3.23101777059774,1179.32148626818,80.7754442649435,0.646203554119548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"SPINACH, DRIED",267.441860465116,0.0,33.2558139534884,4.53488372093023,42.2093023255814,4.88372093023256,25.5813953488372,1151.16279069767,31.5116279069768,6488.37209302326,918.604651162791,6.16279069767442,109034.88372093,5453.48837209303,0.0,23.6046511627907,326.744186046512,0.906976744186047,2.19767441860465,8.41860465116279,0.0,0.0,0.732558139534884,0.116279069767442,1.91860465116279
60,ROMANO CHEESE,387.0,30.91,31.8,26.94,3.63,0.73,0.0,1064.0,0.77,86.0,1433.0,2.58,96.0,415.0,20.0,0.23,0.0,0.037,0.37,0.077,104.0,0.0,17.115,7.838,0.593
61,MALT SYRUP (MALT EXTRACT),318.0,21.1,6.2,0.0,71.3,71.3,0.0,61.0,0.96,320.0,35.0,0.14,0.0,0.0,0.0,0.0,0.0,0.011,0.393,8.12,0.0,0.0,0.0,0.0,0.0
62,CORN SYRUP SOLIDS,283.3333333333333,22.94,0.0,0.0666666666666666,76.79333333333334,76.67,0.0,10.333333333333334,0.1333333333333333,15.0,73.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0233333333333333,0.0093333333333333,0.0066666666666666,0.0,0.0,0.0,0.0,0.0
63,"OIL, COTTONSEED",884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,0.0,0.0,0.0,0.67,59.754000000000005,9.6645,26.2435
64,SUNFLOWER AND SAFFLOWER OIL,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0085714285714285,0.0,0.0,0.0,0.0,0.0,0.0,39.08571428571428,0.0,0.0,0.0,0.0,0.0,0.1575,9.430285714285716,48.81414285714286,37.48614285714286
65,PARSLEY,36.0,87.71,2.97,0.79,6.33,0.85,3.3,138.0,6.2,554.0,56.0,1.07,421.0,8424.0,0.0,0.75,133.0,0.086,0.098,1.313,0.0,0.0,0.132,0.295,0.124
66,BUTTER,630.0,27.166,1.7579999999999998,70.144,0.5980000000000001,0.036,0.0,33.4,0.454,46.2,344.6,0.15,596.2,2172.4,0.0,1.834,0.0,0.0074,0.0544,0.0291999999999999,173.4,2.9735,43.177800000000005,19.235799999999998,2.6952
67,POTATO FLOUR,357.0,6.52,6.9,0.34,83.1,3.52,5.9,65.0,1.38,1001.0,55.0,0.54,0.0,0.0,0.0,0.25,3.8,0.228,0.051,3.507,0.0,0.0,0.09,0.008,0.15
68,"MILK, NONFAT, DRIED",358.8,3.828,35.604,0.6359999999999999,52.028,52.085,0.0,1051.2,0.316,1535.6,889.6,4.202,274.8,917.8,220.0,0.005,6.3,0.3638,1.646,0.8698,15.6,0.0,0.4118,0.1672,0.025
