Rank,ing,case,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Sugars, total","Fiber, total dietary","Calcium, Ca","Iron, Fe","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, RAE","Vitamin A, IU",Vitamin D,Vitamin E (alpha-tocopherol),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
18,CORN STARCH,,381.0,8.32,0.26,0.05,91.27,0.0,0.9,2.0,0.47,3.0,9.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.016,0.025
19,MONOSODIUM GLUTAMATE,,282.0,0.2,0.0,0.0,0.0,0.0,0.0,21.2,0.4,0.8,27400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,RICE FLOUR,,366.0,11.89,5.95,1.42,80.13,0.12,2.4,10.0,0.35,76.0,0.0,0.8,0.0,0.0,0.0,0.11,0.0,0.138,0.021,2.59,0.0,0.0,0.386,0.442,0.379
22,"OIL, CANOLA",,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.46,0.0,0.0,0.0,0.0,0.0,1.771,7.758,61.15,26.397
23,"POTATO, DRIED",,387.5,5.5,7.15,4.9,75.6,4.95,6.05,27.0,1.75,1044.0,440.0,1.0,4.0,0.0,0.0,2.15,8.0,0.2,0.095,4.75,0.0,0.0,1.3,0.0,0.95
24,POTATO STARCH,,320.0,19.0,0.0,0.0,80.0,0.0,0.0,20.0,0.5,10.0,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,BUTTERMILK,,62.0,87.91,3.21,3.31,4.88,4.88,0.0,115.0,0.03,135.0,105.0,0.38,47.0,165.0,52.0,0.07,0.0,0.047,0.172,0.09,11.0,0.0,1.899,0.827,0.198
28,CHEDDAR CHEESE,,407.0,36.585,23.56,33.565,2.61,0.375,0.0,710.5,0.15,76.0,648.5,3.69,296.5,1118.0,32.5,0.745,0.0,0.028,0.431,0.049,99.0,1.048,19.1175,8.837,1.427
29,PAPRIKA,,282.0,11.24,14.14,12.89,53.99,10.34,34.9,229.0,21.14,2280.0,68.0,4.33,2463.0,49254.0,0.0,29.1,0.9,0.33,1.23,10.06,0.0,0.0,2.14,1.695,7.766
31,"CORN MEAL, WHOLE-GRAIN",,362.0,10.26,8.12,3.59,76.89,0.64,7.3,6.0,3.45,287.0,35.0,1.82,5.5,108.5,0.0,0.42,0.0,0.385,0.201,3.632,0.0,0.0,0.505,0.948,1.638
