fdc_id,branded_food_category,brand_owner,market_country,description,ingredients,serving_size,serving_size_num,serving_size_unit,Energy(kcal)_zero_thres,Carbohydrate(g)_zero_thres,Total fat(g)_zero_thres,Protein(g)_zero_thres,Sodium(mg)_zero_thres,Total sugar(g)_zero_thres,Saturated fatty acids(g)_zero_thres,Cholesterol(mg)_zero_thres,Calcium(mg)_zero_thres,Fiber(g)_zero_thres,Iron(mg)_zero_thres
1915539,"Chips, Pretzels & Snacks","Wise Foods, Inc.",United States,"POTATO CHIPS, SALT & VINEGAR","POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CORN, COTTONSEED, SUNFLOWER, SOYBEAN OR CANOLA OIL), SALT, LACTOSE (MILK DERIVATIVE), SODIUM DIACETATE, MALIC ACID, AND SODIUM CITRATE (FLAVORING AGENTS).",,,,,,,,,,,,,,
1915536,"Chips, Pretzels & Snacks","Wise Foods, Inc.",United States,"KETTLE COOKED POTATO CHIPS, FETA CHEESE","POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CORN, COTTONSEED, SUNFLOWER, OR CANOLA OIL), CORN SYRUP SOLIDS, WHEY POWDER, SALT, SUGAR, CHEESE BLEND OF CHEDDAR & FETA (MILK, CHEESE CULTURES, SALT, ENZYMES), CORN MALTODEXTRIN, YEAST, BUTTERMILK POWDER, GARLIC POWDER, ACACIA GUM, ONION POWDER, TOMATO POWDER, NATURAL FLAVOR.",,,,,,,,,,,,,,
1915549,"Chips, Pretzels & Snacks","Wise Foods, Inc.",United States,"POTATO CHIPS, ONION & GARLIC","POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CORN, COTTONSEED, SUNFLOWER, SOYBEAN OR CANOLA OIL), SALT, GRANULATED ONION, SUGAR, SOY FLOUR, TORULA YEAST, DEXTROSE, MONOSODIUM GLUTAMATE (FLAVOR ENHANCER), GARLIC POWDER, HYDROLYZED TORULA YEAST PROTEIN, BREWERS YEAST PROTEIN, PAPRIKA.",,,,,,,,,,,,,,
1915551,"Chips, Pretzels & Snacks","Wise Foods, Inc.",United States,"KETTLE COOKED POTATO CHIPS, JALAPENO","POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CORN, COTTONSEED, SUNFLOWER, SOYBEAN OR CANOLA OIL), SALT, JALAPENO PEPPER, SUGAR, MALTODEXTRIN, ONION POWDER, GARLIC POWDER, TORULA YEAST, NATURAL FLAVOR.",,,,,,,,,,,,,,
1915563,"Chips, Pretzels & Snacks",Boudin International Inc,United States,SOURDOUGH PRETZELS,"WHEAT FLOUR, SALT, VEGETABLE OIL (CORN OIL, SUNFLOWER OIL, CANOLA OIL, AND/OR PALM OIL), YEAST, BAKING SODA.",,,,,,,,,,,,,,
1915559,"Chips, Pretzels & Snacks",Cape Cod Potato Chips Inc.,United States,"POTATO CHIPS THINS, SMOKY BARBECUE","POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA OIL, SAFFLOWER OIL AND/OR SUNFLOWER OIL), ORGANIC DRIED CANE SUGAR, SALT, SUGAR, MALTODEXTRIN, PAPRIKA, ONION POWDER, YEAST EXTRACT, TOMATO POWDER, TORULA YEAST, GARLIC POWDER, CHILI PEPPER, NATURAL FLAVOR (INCLUDING SMOKE), CITRIC ACID.",,,,,,,,,,,,,,
1915558,"Chips, Pretzels & Snacks",Cape Cod Potato Chips Inc.,United States,"THINS POTATO CHIPS, ORIGINAL","POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA OIL, SAFFLOWER OIL AND/OR SUNFLOWER OIL), SALT.",,,,,,,,,,,,,,
1915557,"Chips, Pretzels & Snacks",Cape Cod Potato Chips Inc.,United States,"KETTLE COOKED POTATO CHIPS, AMERICANA BARBECUE SLOW SMOKED","POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA OIL, SAFFLOWER OIL AND/OR SUNFLOWER OIL), SPICES, VINEGAR POWDER (MALTODEXTRIN, WHITE DISTILLED VINEGAR, MODIFIED FOOD STARCH), TOMATO POWDER, FRUCTOSE, SUGAR , SALT, ONION POWDER, GARLIC POWDER, CITRIC ACID, NATURAL SMOKE FLAVOR.",,,,,,,,,,,,,,
1915556,"Chips, Pretzels & Snacks",Cape Cod Potato Chips Inc.,United States,"KETTLE COOKED POTATO CHIPS, FRESH JALAPENO","POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA OIL, SAFFLOWER OIL AND/OR SUNFLOWER OIL), SALT, NATURAL FLAVORS.",,,,,,,,,,,,,,
1915554,"Chips, Pretzels & Snacks","Wise Foods, Inc.",United States,"KETTLE COOKED POTATO CHIPS, ORIGINAL","POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CORN, COTTONSEED, SUNFLOWER, SOYBEAN OR CANOLA OIL), SALT.",,,,,,,,,,,,,,
